Data pulled on 10/29/2014 at 20:34:47
username, number of edits, percent of total edits
50.244.96.94,5,0.000641272284212
198.103.172.9,5,0.000641272284212
Danny,5,0.000641272284212
66.173.70.126,5,0.000641272284212
Adrian J. Hunter,5,0.000641272284212
24.231.132.175,4,0.00051301782737
204.169.28.94,4,0.00051301782737
216.73.65.69,4,0.00051301782737
207.112.66.115,4,0.00051301782737
Waugh Bacon,4,0.00051301782737
209.149.52.5,4,0.00051301782737
150.134.73.71,4,0.00051301782737
61.95.103.86,4,0.00051301782737
67.53.248.226,4,0.00051301782737
145.103.246.233,4,0.00051301782737
99.137.216.14,4,0.00051301782737
Bhadani,4,0.00051301782737
Elkman,4,0.00051301782737
Light show,4,0.00051301782737
Redav,4,0.00051301782737
81.131.182.85,4,0.00051301782737
Rodakarth,4,0.00051301782737
Pragmaticstatistic,4,0.00051301782737
Glenburne,4,0.00051301782737
BG19bot,4,0.00051301782737
Jdiplacidi,4,0.00051301782737
Waterpolo379,4,0.00051301782737
Skizzik,4,0.00051301782737
Francescad,4,0.00051301782737
Ocdnctx,4,0.00051301782737
Moman5,4,0.00051301782737
Courcelles,4,0.00051301782737
71.135.167.247,4,0.00051301782737
Wontsilence,4,0.00051301782737
Mkativerata,4,0.00051301782737
74.71.95.136,4,0.00051301782737
Iridium77,4,0.00051301782737
BPP-baller,4,0.00051301782737
Alastair Haines,4,0.00051301782737
Mogism,4,0.00051301782737
YurikBot,4,0.00051301782737
Mz7,4,0.00051301782737
Philip Trueman,4,0.00051301782737
Mike Rosoft,4,0.00051301782737
Kalieroxs567,4,0.00051301782737
NQ,4,0.00051301782737
84user,4,0.00051301782737
SeanMack,4,0.00051301782737
Arcadian,4,0.00051301782737
Lozion,4,0.00051301782737
70.237.12.193,4,0.00051301782737
71.187.146.37,4,0.00051301782737
G716,4,0.00051301782737
217.36.222.150,4,0.00051301782737
66.71.66.83,4,0.00051301782737
59Ballons,4,0.00051301782737
69.56.70.111,4,0.00051301782737
Hwiseley,4,0.00051301782737
72.10.127.80,4,0.00051301782737
203.22.118.10,4,0.00051301782737
158.59.199.3,4,0.00051301782737
208.74.36.33,4,0.00051301782737
140.139.35.250,4,0.00051301782737
216.82.164.62,4,0.00051301782737
144.138.3.112,4,0.00051301782737
71.193.223.61,4,0.00051301782737
169.139.24.10,4,0.00051301782737
65.247.59.67,4,0.00051301782737
202.79.203.83,4,0.00051301782737
Davidruben,4,0.00051301782737
Ruslik0,4,0.00051301782737
JForget,4,0.00051301782737
129.215.149.99,4,0.00051301782737
168.254.226.151,4,0.00051301782737
Wingman4l7,4,0.00051301782737
UtherSRG,4,0.00051301782737
Tide rolls,4,0.00051301782737
173.21.36.144,4,0.00051301782737
4.130.7.132,4,0.00051301782737
Wayward,4,0.00051301782737
152.157.144.11,4,0.00051301782737
Modest Genius,4,0.00051301782737
Fanyavizuri,4,0.00051301782737
Ochiwar,4,0.00051301782737
173.160.8.81,4,0.00051301782737
GoGeo,4,0.00051301782737
GruntUltra567,4,0.00051301782737
12.216.151.188,4,0.00051301782737
Bogus987654321,4,0.00051301782737
Jyoung,4,0.00051301782737
Kingrain1,4,0.00051301782737
174.51.248.253,4,0.00051301782737
OwenBlacker,4,0.00051301782737
209.167.50.242,4,0.00051301782737
204.39.58.111,4,0.00051301782737
Oxymoron83,4,0.00051301782737
Glrx,4,0.00051301782737
Vrenator,4,0.00051301782737
212.219.204.66,4,0.00051301782737
Thioxane,4,0.00051301782737
Scs,4,0.00051301782737
69.193.27.224,4,0.00051301782737
Ahoerstemeier,4,0.00051301782737
DerHexer,4,0.00051301782737
Nurg,4,0.00051301782737
216.56.22.26,4,0.00051301782737
74.76.67.178,4,0.00051301782737
Lentower,4,0.00051301782737
84.24.229.93,3,0.000384763370527
69.15.40.226,3,0.000384763370527
199.197.126.242,3,0.000384763370527
Dan Sarandon,3,0.000384763370527
98.240.104.160,3,0.000384763370527
65.79.57.235,3,0.000384763370527
Josh Grosse,3,0.000384763370527
218.102.76.134,3,0.000384763370527
Inayity,3,0.000384763370527
210.6.74.214,3,0.000384763370527
83.217.167.155,3,0.000384763370527
Liam Skoda,3,0.000384763370527
JAnDbot,3,0.000384763370527
205.133.240.254,3,0.000384763370527
123.100.123.33,3,0.000384763370527
66.204.141.62,3,0.000384763370527
74.62.87.30,3,0.000384763370527
Leafyplant,3,0.000384763370527
WarthogDemon,3,0.000384763370527
SieBot,3,0.000384763370527
Barneca,3,0.000384763370527
207.5.150.207,3,0.000384763370527
RjwilmsiBot,3,0.000384763370527
STBotD,3,0.000384763370527
71.232.106.167,3,0.000384763370527
Camdic,3,0.000384763370527
216.55.218.176,3,0.000384763370527
Captain panda,3,0.000384763370527
12.39.212.126,3,0.000384763370527
Ronk01,3,0.000384763370527
101.98.54.10,3,0.000384763370527
Thirdeyeopen33,3,0.000384763370527
Quintote,3,0.000384763370527
64.158.140.252,3,0.000384763370527
84.66.16.41,3,0.000384763370527
74.75.217.163,3,0.000384763370527
Lance Bryant,3,0.000384763370527
Charlie1volley,3,0.000384763370527
24.15.15.245,3,0.000384763370527
173.24.145.128,3,0.000384763370527
Ragesoss,3,0.000384763370527
Najarro,3,0.000384763370527
Thijs!bot,3,0.000384763370527
118.210.9.137,3,0.000384763370527
Mike R,3,0.000384763370527
24.190.139.150,3,0.000384763370527
Ryckpage,3,0.000384763370527
216.20.33.7,3,0.000384763370527
68.165.60.178,3,0.000384763370527
Ktwalker01,3,0.000384763370527
